模块,位置描述,涉及版本,zh-CN 简体中文（中国大陆）,zh-TW 繁体中文（中国台湾）,en-US 英文（美国）,vi-VN 越南语（越南）,ar-SA 阿拉伯语（沙特阿拉伯）,es-ES 西班牙语（西班牙）,pt-BR 葡萄牙语（巴西）,fr-FR 法语（法国）,ja-JP 日语（日本）,ko-KR 韩语（韩国）,ur-PK 乌尔都语（巴基斯坦）,id-ID 印尼语（印度尼西亚）,hi-IN 印地语（印度）,ru-RU 俄语（俄罗斯）,tr-TR 土耳其语（土耳其）,使用场景/注意事项
任务/积分/福利,邀请奖励规则弹窗 - 适用规则时点,,奖励发放以被邀请好友注册时有效的邀请活动规则为准；后续规则变更不影响已适用于该好友的奖励条件。,獎勵發放以被邀請好友註冊時有效的邀請活動規則為準；後續規則變更不影響已適用於該好友的獎勵條件。,Reward issuance is governed by the referral campaign rules in effect at the time the invited friend registers; subsequent rule changes will not alter the reward conditions already applicable to that friend.,Việc phát thưởng tuân theo quy tắc chiến dịch giới thiệu có hiệu lực tại thời điểm người bạn được mời đăng ký; thay đổi quy tắc sau đó không làm thay đổi điều kiện thưởng đã áp dụng cho người đó.,يخضع إصدار المكافآت لقواعد حملة الدعوة السارية وقت تسجيل الصديق المدعو؛ ولن تغيّر التعديلات اللاحقة شروط المكافأة المنطبقة بالفعل على ذلك الصديق.,La emisión de recompensas se rige por las reglas de la campaña de referidos vigentes en el momento del registro del amigo invitado; los cambios posteriores no alterarán las condiciones ya aplicables a ese amigo.,A emissão de recompensas é regida pelas regras da campanha de indicação vigentes no momento do cadastro do amigo convidado; alterações posteriores não alterarão as condições já aplicáveis a esse amigo.,L'émission des récompenses est régie par les règles de campagne de parrainage en vigueur au moment de l'inscription de l'ami invité ; les modifications ultérieures n'altéreront pas les conditions déjà applicables à cet ami.,リワード付与は、招待された友だちが登録した時点で有効な招待キャンペーン規則に従います。その後の規則変更は、当該友だちに既に適用されているリワード条件を変更しません。,리워드 지급은 초대된 친구가 가입한 시점에 유효한 추천 캠페인 규칙을 따릅니다. 이후 규칙 변경은 해당 친구에게 이미 적용된 리워드 조건을 변경하지 않습니다.,انعام کی ادائیگی مدعو دوست کی رجسٹریشن کے وقت نافذ ریفرل مہم کے قواعد کے مطابق ہوگی؛ بعد کی تبدیلیاں اس دوست پر پہلے سے لاگو انعام کی شرائط تبدیل نہیں کریں گی۔,Penerbitan hadiah mengikuti aturan kampanye referral yang berlaku saat teman yang diundang mendaftar; perubahan aturan berikutnya tidak mengubah syarat hadiah yang sudah berlaku untuk teman tersebut.,पुरस्कार जारी करना आमंत्रित मित्र के पंजीकरण के समय लागू रेफरल अभियान नियमों के अधीन है; बाद के नियम परिवर्तन उस मित्र पर पहले से लागू पुरस्कार शर्तों को नहीं बदलेंगे।,"Выдача наград регулируется правилами реферальной кампании, действующими на момент регистрации приглашённого друга; последующие изменения правил не меняют уже применимые к этому другу условия награды.","Ödül verilmesi, davet edilen arkadaşın kaydolduğu sırada geçerli davet kampanyası kurallarına tabidir; sonraki kural değişiklikleri o arkadaş için halihazırda geçerli ödül koşullarını değiştirmez.",邀请奖励规则弹窗文案，需与最终 UI 规则条款一致；长文案需检查多语言换行与弹窗高度
任务/积分/福利,邀请奖励规则弹窗 - 邀请奖励细则,,邀请奖励细则,邀請獎勵細則,Referral Reward Details,Chi tiết phần thưởng giới thiệu,تفاصيل مكافآت الدعوة,Detalles de recompensas por referidos,Detalhes das recompensas de indicação,Détails des récompenses de parrainage,招待リワードの詳細,추천 리워드 세부사항,ریفرل انعام کی تفصیلات,Detail hadiah referral,रेफरल पुरस्कार विवरण,Подробности реферальных наград,Davet ödülü ayrıntıları,邀请奖励规则弹窗文案，需与最终 UI 规则条款一致；长文案需检查多语言换行与弹窗高度
任务/积分/福利,邀请奖励规则弹窗 - 邀请里程碑细则,,邀请里程碑细则,邀請里程碑細則,Referral Milestone Details,Chi tiết cột mốc giới thiệu,تفاصيل معالم الدعوة,Detalles de hitos de referidos,Detalhes dos marcos de indicação,Détails des jalons de parrainage,招待マイルストーンの詳細,추천 마일스톤 세부사항,ریفرل سنگ میل کی تفصیلات,Detail tonggak referral,रेफरल माइलस्टोन विवरण,Подробности реферальных вех,Davet kilometre taşı ayrıntıları,邀请奖励规则弹窗文案，需与最终 UI 规则条款一致；长文案需检查多语言换行与弹窗高度
任务/积分/福利,邀请奖励规则弹窗 - 里程碑仅可领一次,,每档里程碑奖励仅可领取一次。,每檔里程碑獎勵僅可領取一次。,Each milestone reward may be claimed only once.,Mỗi phần thưởng cột mốc chỉ có thể nhận một lần.,لا يجوز المطالبة بكل مكافأة معلم إلا مرة واحدة.,Cada recompensa de hito solo puede reclamarse una vez.,Cada recompensa de marco só pode ser resgatada uma vez.,Chaque récompense de jalon ne peut être réclamée qu’une seule fois.,各マイルストーンリワードは1回のみ受け取れます。,각 마일스톤 리워드는 한 번만 수령할 수 있습니다.,ہر سنگ میل انعام صرف ایک بار کلیم کیا جا سکتا ہے۔,Setiap hadiah tonggak hanya dapat diklaim sekali.,प्रत्येक माइलस्टोन पुरस्कार केवल एक बार क्लेम किया जा सकता है।,Каждую награду за веху можно получить только один раз.,Her kilometre taşı ödülü yalnızca bir kez talep edilebilir.,邀请奖励规则弹窗文案，需与最终 UI 规则条款一致；长文案需检查多语言换行与弹窗高度
任务/积分/福利,邀请页已邀请用户弹窗 - 全部新手任务奖励,,全部新手任务奖励,全部新手任務獎勵,Reward for All Newbie Tasks,Thưởng cho tất cả nhiệm vụ người mới,مكافأة لجميع مهام المبتدئين,Recompensa por todas las tareas de novato,Recompensa por todas as tarefas de iniciante,Récompense pour toutes les tâches débutant,すべての初心者タスク報酬,모든 초보 미션 리워드,تمام نوآموز ٹاسکس کا انعام,Hadiah untuk semua tugas pemula,सभी नौसिखिया टास्क का पुरस्कार,Награда за все задания новичка,Tüm yeni gelen görevleri için ödül,邀请页已邀请用户底部弹窗文案，需与筛选计数、任务进度与奖励状态一致
任务/积分/福利,邀请页已邀请用户弹窗 - 全部筛选计数,,全部({{n}}),全部({{n}}),All({{n}}),Tất cả({{n}}),الكل({{n}}),Todos({{n}}),Todos({{n}}),Tout({{n}}),すべて({{n}}),전체({{n}}),سب({{n}}),Semua({{n}}),सभी({{n}}),Все({{n}}),Tümü({{n}}),动态计数；示例：All(2)
任务/积分/福利,邀请页已邀请用户弹窗 - 副标题,,查看好友任务进度与奖励状态,查看好友任務進度與獎勵狀態,Check Friends' Task Progress & Reward Status,Xem tiến độ nhiệm vụ và trạng thái thưởng của bạn bè,تحقق من تقدم مهام الأصدقاء وحالة المكافآت,Consulta el progreso de tareas y el estado de recompensas de tus amigos,Veja o progresso das tarefas e o status das recompensas dos amigos,Consulte la progression des tâches et le statut des récompenses de vos amis,友達のタスク進捗と報酬ステータスを確認,친구의 미션 진행도와 리워드 상태를 확인하세요,دوستوں کی ٹاسک پیش رفت اور انعام کی صورتحال چیک کریں,Cek progres tugas dan status hadiah teman,मित्रों की टास्क प्रगति और पुरस्कार स्थिति देखें,Проверьте прогресс заданий и статус наград друзей,Arkadaşların görev ilerlemesini ve ödül durumunu kontrol et,邀请页已邀请用户底部弹窗文案，需与筛选计数、任务进度与奖励状态一致
任务/积分/福利,邀请页已邀请用户弹窗 - 已完成状态,,已完成,已完成,Completed,Hoàn tất,مكتمل,Completado,Concluído,Terminé,完了,완료,مکمل,Selesai,पूर्ण,Завершено,Tamamlandı,邀请页已邀请用户底部弹窗文案，需与筛选计数、任务进度与奖励状态一致
任务/积分/福利,邀请页已邀请用户弹窗 - 已完成筛选计数,,已完成({{n}}),已完成({{n}}),Completed({{n}}),Hoàn tất({{n}}),مكتمل({{n}}),Completado({{n}}),Concluído({{n}}),Terminé({{n}}),完了({{n}}),완료({{n}}),مکمل({{n}}),Selesai({{n}}),पूर्ण({{n}}),Завершено({{n}}),Tamamlandı({{n}}),动态计数；示例：Completed(1)
任务/积分/福利,邀请页已邀请用户弹窗 - 已邀请用户,,已邀请用户,已邀請用戶,Invited Users,Người dùng đã mời,المستخدمون المدعوون,Usuarios invitados,Usuários convidados,Utilisateurs invités,招待済みユーザー,초대한 사용자,مدعو صارفین,Pengguna diundang,आमंत्रित उपयोगकर्ता,Приглашённые пользователи,Davet edilen kullanıcılar,邀请页已邀请用户底部弹窗文案，需与筛选计数、任务进度与奖励状态一致
任务/积分/福利,邀请页已邀请用户弹窗 - 待解锁积分,,待解锁 +{{n}},待解鎖 +{{n}},Pending Unlock +{{n}},Chờ mở khóa +{{n}},بانتظار الفتح +{{n}},Pendiente de desbloqueo +{{n}},Desbloqueio pendente +{{n}},Déblocage en attente +{{n}},解除待ち +{{n}},잠금 해제 대기 +{{n}},انلاک زیر التواء +{{n}},Menunggu buka kunci +{{n}},अनलॉक लंबित +{{n}},Ожидает разблокировки +{{n}},Kilidi açılacak +{{n}},动态数值；示例：Pending Unlock +500
任务/积分/福利,邀请页已邀请用户弹窗 - 新手任务进度,,新手任务进度,新手任務進度,Newbie Task Progress,Tiến độ nhiệm vụ người mới,تقدم مهام المبتدئين,Progreso de tareas de novato,Progresso das tarefas de iniciante,Progression des tâches débutant,初心者タスク進捗,초보 미션 진행도,نوآموز ٹاسک پیش رفت,Progres tugas pemula,नौसिखिया टास्क प्रगति,Прогресс заданий новичка,Yeni gelen görev ilerlemesi,邀请页已邀请用户底部弹窗文案，需与筛选计数、任务进度与奖励状态一致
任务/积分/福利,邀请页已邀请用户弹窗 - 激活中状态,,激活中,激活中,Activating,Đang kích hoạt,قيد التفعيل,Activando,Ativando,Activation en cours,アクティブ化中,활성화 중,ایکٹیویٹنگ,Mengaktifkan,सक्रिय हो रहा,Активация,Aktive ediliyor,邀请页已邀请用户底部弹窗文案，需与筛选计数、任务进度与奖励状态一致
任务/积分/福利,邀请页已邀请用户弹窗 - 激活中筛选计数,,激活中({{n}}),激活中({{n}}),Activating({{n}}),Đang kích hoạt({{n}}),قيد التفعيل({{n}}),Activando({{n}}),Ativando({{n}}),Activation({{n}}),アクティブ化中({{n}}),활성화 중({{n}}),ایکٹیویٹنگ({{n}}),Mengaktifkan({{n}}),सक्रिय हो रहा({{n}}),Активация({{n}}),Aktive ediliyor({{n}}),动态计数；示例：Activating(1)
任务/积分/福利,邀请页面 - 保存海报,,保存海报,保存海報,Save Poster,Lưu poster,حفظ الملصق,Guardar cartel,Salvar pôster,Enregistrer l’affiche,ポスターの保存,포스터 저장,پوسٹر محفوظ کریں۔,Simpan Poster,पोस्टर सहेजें,Сохранить плакат,Posteri Kaydet,任务/积分/邀请文案，需与后端任务状态、积分记录和领取状态一致
任务/积分/福利,邀请页面 - 单人奖励积分,,+{{n}} 积分 / 人,+{{n}} 積分 / 人,+{{n}} Points / User,+{{n}} Điểm / người,+{{n}} نقطة / مستخدم,+{{n}} puntos / usuario,+{{n}} pontos / usuário,+{{n}} points / utilisateur,+{{n}} ポイント / 人,+{{n}}포인트 / 인,+{{n}} پوائنٹس / صارف,+{{n}} poin / pengguna,+{{n}} अंक / उपयोगकर्ता,+{{n}} баллов / польз.,+{{n}} Puan / Kullanıcı,动态数值文案；示例：+100 Points / User、+500 Points / User
任务/积分/福利,邀请页面 - 复制邀请链接,,复制邀请链接,複製邀請連結,Copy invite link,Sao chép liên kết mời,انسخ رابط الدعوة,Copiar enlace de invitación,Copiar link de convite,Copier le lien d'invitation,招待リンクをコピーする,초대 링크 복사,دعوت کا لنک کاپی کریں۔,Salin tautan undangan,आमंत्रण लिंक कॉपी करें,Скопировать ссылку-приглашение,Davet bağlantısını kopyala,任务/积分/邀请文案，需与后端任务状态、积分记录和领取状态一致
任务/积分/福利,邀请页面 - 奖励叠加说明,,仅限直接邀请。每位好友每一步仅奖励一次；奖励可叠加。,僅限直接邀請。每位好友每一步僅獎勵一次；獎勵可疊加。,Only direct referrals. One reward per step per friend; rewards stack.,Chỉ tính giới thiệu trực tiếp. Mỗi bước mỗi bạn chỉ thưởng một lần; thưởng được cộng dồn.,للدعوات المباشرة فقط. مكافأة واحدة لكل خطوة لكل صديق؛ وتتراكم المكافآت.,Solo referidos directos. Una recompensa por paso por amigo; las recompensas se acumulan.,Apenas indicações diretas. Uma recompensa por etapa por amigo; as recompensas acumulam.,Parrainages directs uniquement. Une récompense par étape et par ami ; les récompenses se cumulent.,直接の招待のみ。友だちごと各ステップの報酬は1回；報酬は重複付与可。,직추천만 해당. 친구별 단계당 리워드 1회; 리워드는 중첩됩니다.,صرف براہ راست ریفرلز۔ ہر دوست کے ہر مرحلے پر ایک انعام؛ انعامات جمع ہوتے ہیں۔,Hanya referral langsung. Satu hadiah per langkah per teman; hadiah dapat ditumpuk.,केवल प्रत्यक्ष रेफरल। प्रति मित्र प्रति चरण एक पुरस्कार; पुरस्कार जोड़ होते हैं।,Только прямые рефералы. Одна награда за шаг на друга; награды суммируются.,Yalnızca doğrudan davetler. Arkadaş başına adımda bir ödül; ödüller birikir.,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 好友合格激活,,好友合格激活,好友合格激活,Referral Qualified Activation,Kích hoạt đủ điều kiện của người được mời,تفعيل مؤهل للمدعو,Activación cualificada del referido,Ativação qualificada do indicado,Activation qualifiée du filleul,招待ユーザーの合格アクティベーション,추천인 자격 활성화,ریفرل کی اہل ایکٹیویشن,Aktivasi memenuhi syarat referral,रेफरल योग्य सक्रियण,Квалифицированная активация реферала,Davetli nitelikli aktivasyon,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 好友注册成功,,好友注册成功,好友註冊成功,Friend Registration Success,Bạn bè đăng ký thành công,نجاح تسجيل الصديق,Registro de amigo exitoso,Cadastro do amigo concluído,Inscription de l'ami réussie,友達の登録成功,친구 가입 성공,دوست کی رجسٹریشن کامیاب,Teman berhasil daftar,मित्र पंजीकरण सफल,Друг успешно зарегистрирован,Arkadaş kaydı başarılı,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 如何获得邀请奖励,,如何获得邀请奖励,如何獲得邀請獎勵,How to Get Referral Rewards,Cách nhận thưởng giới thiệu,كيفية الحصول على مكافآت الدعوة,Cómo obtener recompensas por referidos,Como obter recompensas de indicação,Comment obtenir des récompenses de parrainage,招待リワードの獲得方法,추천 리워드 받는 방법,ریفرل انعامات کیسے حاصل کریں,Cara dapat hadiah referral,रेफरल पुरस्कार कैसे पाएं,Как получить реферальные награды,Davet ödülleri nasıl alınır,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 我的邀请码,,我的邀请码,我的邀請碼,My Referral Code,Mã giới thiệu của tôi,رمز الدعوة الخاص بي,Mi código de referidos,Meu código de indicação,Mon code de parrainage,マイ招待コード,내 추천 코드,میرا ریفرل کوڈ,Kode referral saya,मेरा रेफरल कोड,Мой реферальный код,Davet kodum,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 查看已邀请用户,,查看已邀请用户,查看已邀請用戶,View Invitees,Xem người được mời,عرض المدعوين,Ver invitados,Ver convidados,Voir les invités,招待済みユーザーを見る,초대 대상 보기,مدعو صارفین دیکھیں,Lihat yang diundang,आमंत्रित देखें,Смотреть приглашённых,Davet edilenleri gör,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 每次成功邀请最高可得,,每次成功邀请最高可得,每次成功邀請最高可得,Up To Per Successful Referral,Tối đa cho mỗi giới thiệu thành công,حتى لكل دعوة ناجحة,Hasta por cada referido exitoso,Até por indicação bem-sucedida,Jusqu'à par parrainage réussi,成功した招待あたり最大,성공 추천당 최대,ہر کامیاب ریفرل پر زیادہ سے زیادہ,Hingga per referral berhasil,प्रति सफल रेफरल अधिकतम,До за успешное приглашение,Başarılı davet başına en fazla,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 注册奖励说明,,好友注册成功即可即时获得注册奖励,好友註冊成功即可即時獲得註冊獎勵,Get Instant Registration Rewards When Referral Signs Up,"Khi bạn bè đăng ký, nhận ngay thưởng đăng ký",احصل على مكافآت التسجيل فورًا عند تسجيل المدعو,Obtén recompensas de registro al instante cuando tu referido se registre,Ganhe recompensas de cadastro na hora quando o indicado se cadastrar,Recevez aussitôt des récompenses d'inscription quand le filleul s'inscrit,招待した友だちが登録すると登録リワードを即時獲得,추천인이 가입하면 즉시 가입 리워드를 받습니다,ریفرل سائن اپ کرتے ہی فوری رجسٹریشن انعام حاصل کریں,Dapat hadiah pendaftaran instan saat referral mendaftar,रेफरल साइन अप करते ही तुरंत पंजीकरण पुरस्कार पाएं,"Мгновенная награда за регистрацию, когда реферал регистрируется",Davetli kaydolunca anında kayıt ödülü kazan,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 激活奖励说明,,好友完成激活任务可额外获得激活奖励,好友完成激活任務可額外獲得激活獎勵,Get Extra Activation Rewards When Referral Finishes Activation Tasks,"Khi bạn bè hoàn thành nhiệm vụ kích hoạt, nhận thêm thưởng kích hoạt",احصل على مكافآت تفعيل إضافية عند إكمال المدعو مهام التفعيل,Obtén recompensas de activación extra cuando tu referido complete las tareas de activación,Ganhe recompensas extras de ativação quando o indicado concluir as tarefas de ativação,Recevez des récompenses d'activation supplémentaires quand le filleul termine les tâches d'activation,友だちがアクティベーションタスクを完了すると追加の活性化リワードを獲得,추천인이 활성화 미션을 완료하면 추가 활성화 리워드를 받습니다,ریفرل ایکٹیویشن ٹاسک مکمل کرنے پر اضافی ایکٹیویشن انعام حاصل کریں,Dapat hadiah aktivasi ekstra saat referral selesai tugas aktivasi,रेफरल सक्रियण कार्य पूरे करने पर अतिरिक्त सक्रियण पुरस्कार पाएं,"Доп. награда за активацию, когда реферал завершает задания активации",Davetli aktivasyon görevlerini bitirince ekstra aktivasyon ödülü kazan,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 立即邀请,,立即邀请,立即邀請,Invite Now,Mời ngay,ادعُ الآن,Invitar ahora,Convidar agora,Inviter maintenant,今すぐ招待,지금 초대,ابھی دعوت دیں,Undang sekarang,अभी आमंत्रित करें,Пригласить сейчас,Şimdi davet et,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 累计合格用户,,累计合格用户,累計合格用戶,Total Qualified Users,Tổng người dùng đủ điều kiện,إجمالي المستخدمين المؤهلين,Usuarios cualificados totales,Total de usuários qualificados,Utilisateurs qualifiés au total,累計合格ユーザー,총 자격 사용자,کل اہل صارفین,Total pengguna memenuhi syarat,कुल योग्य उपयोगकर्ता,Всего квалифицированных,Toplam nitelikli kullanıcı,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 累计注册,,累计注册,累計註冊,Total Registrations,Tổng đăng ký,إجمالي التسجيلات,Registros totales,Total de cadastros,Inscriptions totales,累計登録,총 가입 수,کل رجسٹریشنز,Total pendaftaran,कुल पंजीकरण,Всего регистраций,Toplam kayıt,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 累计积分,,累计积分,累計積分,Cumulative Points,Điểm tích lũy,النقاط التراكمية,Puntos acumulados,Pontos acumulados,Points cumulés,累計ポイント,누적 포인트,مجموعی پوائنٹس,Poin kumulatif,संचयी अंक,Накопленные баллы,Kümülatif Puan,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 累计积分数值,,{{n}} 积分,{{n}} 積分,{{n}} Points,{{n}} Điểm,{{n}} نقطة,{{n}} puntos,{{n}} pontos,{{n}} points,{{n}} ポイント,{{n}}포인트,{{n}} پوائنٹس,{{n}} poin,{{n}} अंक,{{n}} баллов,{{n}} Puan,"动态数值文案；示例：12,680 Points / 400 Points"
任务/积分/福利,邀请页面 - 绑定邀请关系说明,,通过输入并确认邀请码绑定邀请关系。每位用户仅可绑定一位上级，绑定后不可更改。,透過輸入並確認邀請碼綁定邀請關係。每位用戶僅可綁定一位上級，綁定後不可更改。,Bind referral relation by entering & confirming referral code. Only one uplink per user; non-changeable after binding,Liên kết quan hệ giới thiệu bằng cách nhập và xác nhận mã. Mỗi người chỉ một cấp trên; không đổi sau khi liên kết.,اربط علاقة الدعوة بإدخال رمز الدعوة وتأكيده. صعود واحد فقط لكل مستخدم؛ لا يمكن تغييره بعد الربط.,Vincula la relación de referidos introduciendo y confirmando el código. Solo un superior por usuario; no se puede cambiar tras vincular.,Vincule a relação de indicação inserindo e confirmando o código. Apenas um superior por usuário; não alterável após vincular.,Liez la relation de parrainage en saisissant et confirmant le code. Un seul supérieur par utilisateur ; non modifiable après liaison.,招待コードを入力・確認して招待関係を紐付けます。上位は1人のみ、紐付け後は変更不可。,"추천 코드를 입력·확인하여 추천 관계를 연결합니다. 상위는 사용자당 1명만 가능하며, 연결 후 변경할 수 없습니다.",ریفرل کوڈ درج کر کے اور تصدیق کر کے ریفرل تعلق باندھیں۔ ہر صارف کا صرف ایک اپ لنک؛ باندھنے کے بعد تبدیل نہیں۔,Ikat relasi referral dengan memasukkan & mengonfirmasi kode. Hanya satu uplink per pengguna; tidak dapat diubah setelah diikat.,रेफरल कोड दर्ज और पुष्टि करके संबंध बाँधें। प्रति उपयोगकर्ता केवल एक अपलिंक; बाँधने के बाद अपरिवर्तनीय।,"Привяжите реферальную связь, введя и подтвердив код. Только один аплинк на пользователя; после привязки нельзя изменить.",Davet kodunu girip onaylayarak davet ilişkisini bağla. Kullanıcı başına yalnızca bir üst hat; bağlandıktan sonra değiştirilemez.,邀请码绑定流程文案，需与唯一上级绑定、绑定后不可更改规则一致
任务/积分/福利,邀请页面 - 自动到账,,自动到账,自動到帳,Auto Credited,Tự động cộng,يُضاف تلقائيًا,Acreditado automáticamente,Creditado automaticamente,Crédité automatiquement,自動付与,자동 지급,خودکار جمع,Otomatis dikreditkan,स्वतः जमा,Зачислено автоматически,Otomatik yatırılır,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 输入好友邀请码,,输入好友邀请码,輸入好友邀請碼,Enter Friend's Referral Code,Nhập mã giới thiệu của bạn bè,أدخل رمز دعوة صديقك,Introduce el código de tu amigo,Insira o código do amigo,Saisir le code d'invitation d'un ami,友達の招待コードを入力,친구 추천 코드 입력,دوست کا ریفرل کوڈ درج کریں,Masukkan kode referral teman,मित्र का रेफरल कोड दर्ज करें,Введите код друга,Arkadaşının davet kodunu gir,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 输入邀请码,,输入邀请码,輸入邀請碼,Enter Referral Code,Nhập mã giới thiệu,أدخل رمز الدعوة,Introduce el código de referidos,Insira o código de indicação,Saisir le code de parrainage,招待コードを入力,추천 코드 입력,ریفرل کوڈ درج کریں,Masukkan kode referral,रेफरल कोड दर्ज करें,Введите реферальный код,Davet kodunu gir,邀请码绑定流程文案，需与唯一上级绑定、绑定后不可更改规则一致
任务/积分/福利,邀请页面 - 邀请奖励,,邀请奖励,邀請獎勵,Invitation Rewards,Phần thưởng giới thiệu,مكافآت الدعوة,Recompensas por invitación,Recompensas de convite,Récompenses d'invitation,招待リワード,초대 리워드,دعوت انعامات,Hadiah Undangan,आमंत्रण पुरस्कार,Награды за приглашения,Davet Ödülleri,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
任务/积分/福利,邀请页面 - 邀请码,,邀请码,邀請碼,Referral Code,Mã giới thiệu,رمز الدعوة,Código de referidos,Código de indicação,Code de parrainage,招待コード,추천 코드,ریفرل کوڈ,Kode referral,रेफरल कोड,Реферальный код,Davet kodu,邀请码绑定流程文案，需与唯一上级绑定、绑定后不可更改规则一致
任务/积分/福利,邀请页面 - 邀请码已复制,,邀请码已复制：,邀請碼已複製：,Referral Code Copied: ,Đã sao chép mã giới thiệu: ,تم نسخ رمز الدعوة: ,Código de referidos copiado: ,Código de indicação copiado: ,Code de parrainage copié : ,招待コードをコピーしました：,추천 코드가 복사됨: ,ریفرل کوڈ کاپی ہو گیا: ,Kode referral disalin: ,रेफरल कोड कॉपी हुआ: ,Реферальный код скопирован: ,Davet kodu kopyalandı: ,邀请码绑定/复制相关文案，需与绑定成功态、不可再改规则及 Toast 展示一致
任务/积分/福利,邀请页面弹窗 - 不可修改,,不可修改,不可修改,Non-modifiable,Không thể sửa,غير قابل للتعديل,No modificable,Não modificável,Non modifiable,変更不可,수정 불가,غیر قابلِ ترمیم,Tidak dapat diubah,अपरिवर्तनीय,Нельзя изменить,Değiştirilemez,邀请码绑定/复制相关文案，需与绑定成功态、不可再改规则及 Toast 展示一致
任务/积分/福利,邀请页面弹窗 - 已绑定,,已绑定,已綁定,Bound,Đã liên kết,مرتبط,Vinculado,Vinculado,Lié,紐付け済み,연결됨,بندھا ہوا,Terikat,बाँधा गया,Привязано,Bağlı,邀请码绑定/复制相关文案，需与绑定成功态、不可再改规则及 Toast 展示一致
任务/积分/福利,邀请页面弹窗 - 绑定成功说明,,你的邀请关系已绑定。无法再次输入或更改邀请码,你的邀請關係已綁定。無法再次輸入或更改邀請碼,Your referral relationship has been bound. You cannot enter or change the referral code again,Quan hệ giới thiệu của bạn đã được liên kết. Bạn không thể nhập hoặc đổi mã nữa,تم ربط علاقة الدعوة الخاصة بك. لا يمكنك إدخال رمز الدعوة أو تغييره مرة أخرى,Tu relación de referidos ha sido vinculada. No puedes volver a introducir ni cambiar el código,Sua relação de indicação foi vinculada. Você não pode inserir ou alterar o código novamente,Votre relation de parrainage a été liée. Vous ne pouvez plus saisir ni modifier le code,招待関係が紐付けされました。招待コードの再入力・変更はできません,추천 관계가 연결되었습니다. 추천 코드를 다시 입력하거나 변경할 수 없습니다,آپ کا ریفرل تعلق بندھ چکا ہے۔ آپ دوبارہ ریفرل کوڈ درج یا تبدیل نہیں کر سکتے,Relasi referral Anda telah diikat. Anda tidak dapat memasukkan atau mengubah kode lagi,आपका रेफरल संबंध बाँध दिया गया है। आप फिर से कोड दर्ज या बदल नहीं सकते,Ваша реферальная связь привязана. Ввести или изменить код повторно нельзя,Davet ilişkiniz bağlandı. Davet kodunu tekrar giremez veya değiştiremezsiniz,邀请码绑定/复制相关文案，需与绑定成功态、不可再改规则及 Toast 展示一致
任务/积分/福利,邀请页面弹窗 - 邀请码已绑定,,邀请码已绑定,邀請碼已綁定,Referral Code Bound,Mã giới thiệu đã liên kết,تم ربط رمز الدعوة,Código de referidos vinculado,Código de indicação vinculado,Code de parrainage lié,招待コード紐付け済み,추천 코드 연결됨,ریفرل کوڈ بندھ گیا,Kode referral terikat,रेफरल कोड बाँध दिया गया,Реферальный код привязан,Davet kodu bağlandı,邀请码绑定/复制相关文案，需与绑定成功态、不可再改规则及 Toast 展示一致
任务/积分/福利,邀请页面里程碑 - 有效用户,,有效用户,合格用戶,Qualified User,Người dùng đủ điều kiện,مستخدم مؤهل,Usuario cualificado,Usuário qualificado,Utilisateur qualifié,合格ユーザー,자격 사용자,اہل صارف,Pengguna memenuhi syarat,योग्य उपयोगकर्ता,Квалифицированный пользователь,Nitelikli kullanıcı,邀请奖励页文案，需与后台配置积分、注册/合格用户口径及多语言宽度一致
